(-18,-140)
(-83,81)
(-63,-122)
(13,-109)
(-36,-160)
(19,-49)
(-27,-121)
(-76,79)
(26,26)
(28,-33)
(6,-46)
(-54,-92)
(-52,-34)
(39,16)
(43,-130)
(-44,-154)
(14,-58)
(-11,-32)
(22,51)
(-43,105)
(43,164)
(18,-26)
(69,112)
(68,-74)
(-63,123)
(-33,46)
(-56,165)
(26,-35)
(59,-76)
(27,2)
(-36,-38)
(-13,145)
(42,176)
(73,177)
(56,117)
(37,30)
(-89,34)
(-33,-41)
(37,19)
(88,-169)
(13,0)
(-24,42)
(75,-65)
(-25,-33)
(79,-177)
(5,11)
(-7,108)
(-74,-36)
(68,111)
(-68,147)
(-15,1)
(27,-134)
(74,35)
(-61,36)
(17,-18)
(-67,146)
(53,23)
(-86,131)
(52,85)
(61,-172)
(-12,-38)
(-81,97)
(81,-84)
(6,140)
(11,-39)
(60,123)
(50,95)
(47,14)
(-13,30)
(67,-38)
(-12,-134)
(-70,-112)
(81,111)
(-57,-15)
(-48,-144)
(10,-115)
(63,164)
(-16,-96)
(-70,-130)
(-28,-21)
(-55,-75)
(-69,-102)
(42,-78)
(-89,6)
(73,128)
(-29,-3)
(-71,178)
(-24,163)
(-4,66)
(27,-53)
(46,46)
(-19,-25)
(22,-29)
(66,49)
(-51,-163)
(67,149)
(-86,-61)
(-59,-82)
(9,-88)
(-18,104)
(13,-48)
(-25,-44)
(26,-151)
(69,-159)
(84,-149)
(74,-178)
(-75,45)
(-72,156)
(-13,-150)
(-35,-48)
(40,-87)
(-56,-100)
(54,163)
(12,-57)
(25,136)
(48,68)
(47,38)
(2,-107)
(-28,132)
(-89,-4)
(-73,-69)
(77,5)
(51,50)
(-3,30)
(-2,178)
(5,23)
(-35,-108)
(9,-124)
(-43,-49)
(50,-81)
(-82,-125)
(3,-139)
(40,-137)
(-32,78)
(48,167)
(64,134)
(-39,-43)
(38,69)
(-75,-114)
(15,-63)
(84,-17)
(-7,96)
(-33,-91)
(-51,120)
(-48,-52)
(-24,-89)
(72,-89)
(80,-177)
(-83,130)
(-62,-83)
